track_name,artist_name,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
For the Longest Time,MC6 A Cappella,A Capella,0.7831316983565138,0.6018988024598124,0.2978013468991569,0.0,0.08401826484018264,0.8128874927668017,0.0049877958187413765,0.2447435368882543,0.7177419354838709
Clair,The Singers Unlimited,A Capella,0.9769075419546288,0.4594886179738915,0.22167139306796704,0.0003084677419354839,0.09081684424150177,0.6698974952467553,0.02260426615727475,0.4720861949340868,0.4122983870967742
The Lion Sleeps Tonight,MC6 A Cappella,A Capella,0.3032101789787989,0.682813680008631,0.4901296513147944,6.552419354838709e-06,0.2176560121765601,0.740348846821526,0.05475963069086279,0.36839988335729873,0.6693548387096775
Come Go With Me,MC6 A Cappella,A Capella,0.8052201364868689,0.7108641708922214,0.5181775290420749,0.0,0.0806697108066971,0.812019508969166,0.06961689483179455,0.4830918360164506,0.6774193548387097
A Debtor to Mercy Alone,Glad,A Capella,0.6014040937385924,0.35699643974538786,0.1525534086685973,0.0,0.07681380010147133,0.723795155823758,0.021543033004351047,0.4365755311767841,0.2379032258064516
O Wondrous Love,Glad,A Capella,0.7961839572517236,0.31384183838601787,0.09074790667669713,1.622983870967742e-06,0.12836123795027904,0.66220963875341,0.017934840284410485,0.4354644088930005,0.15120967741935484
Blue Moon,MC6 A Cappella,A Capella,0.6706814678747062,0.743230121911749,0.5051553000972661,0.0,0.08777270421106037,0.7808340910969662,0.0550780006367399,0.4443734979738359,0.721774193548387
Runaround Sue,MC6 A Cappella,A Capella,0.6586332288945125,0.6979177904844105,0.57026644482131,0.0,0.0763064434297311,0.8250392659337026,0.08022922636103152,0.24225985178332615,0.657258064516129
Sherry,MC6 A Cappella,A Capella,0.36144333404973505,0.6428956737512138,0.42702192642841336,0.0,0.13749365804160324,0.8077002562618831,0.016130743924440197,0.460527506561152,0.8175403225806452
Goodnight Sweetheart,MC6 A Cappella,A Capella,0.8333326941073207,0.6148451828676234,0.29880305681798836,0.0,0.2998477929984779,0.7762875092998265,0.02610633556192295,0.5133485505133284,0.561491935483871
Teenager in Love,MC6 A Cappella,A Capella,0.8383527936824015,0.5662962563383321,0.31783554527578584,0.0,0.1050228310502283,0.8017277010829131,0.008914358484559053,0.21176180755965374,0.5141129032258065
December Song (A Capella Bonus Track),Peter Hollens,A Capella,0.8664653513028534,0.21027079512353006,0.4170048272400989,6.381048387096774e-06,0.0841197361745307,0.898673224766471,0.006367398917542181,0.5509457108668765,0.2096774193548387
409/Little Deuce Coupe,MC6 A Cappella,A Capella,0.785139738186546,0.530693710216852,0.4480578347238737,0.0,0.051953323186199885,0.8085682400595189,0.045420778945134244,0.40848072881577496,0.8981854838709677
In the Still of the Night,MC6 A Cappella,A Capella,0.7178704038804646,0.2728449670946165,0.44204757521088506,0.0,0.12836123795027904,0.7762048441762421,0.02345325267961371,0.1770203823065089,0.46673387096774194
So Much in Love,MC6 A Cappella,A Capella,0.8333326941073207,0.530693710216852,0.27175688900953937,0.0,0.1171993911719939,0.7521906257749855,0.0037143160352329403,0.227518627638287,0.5877016129032258
December Song [Bonus Track] - A Capella,Peter Hollens,A Capella,0.8644573114728211,0.13690797281260117,0.39396549910697565,5.120967741935484e-06,0.08158295281582952,0.8987972224518476,0.010293961583359861,0.06116200263451618,0.19254032258064516
Since You've Been Gone,MC6 A Cappella,A Capella,0.849397012747579,0.5878735570180171,0.3959689189446386,0.0,0.059868087265347536,0.8182813920806812,0.046482012098057954,0.4591448883347244,0.5977822580645161
Surfer Girl,MC6 A Cappella,A Capella,0.6927699060050612,0.5026432193332615,0.2978013468991569,0.0,0.30492135971588025,0.769963627345623,0.002865329512893977,0.30526199358465145,0.5473790322580645
One Fine Day,MC6 A Cappella,A Capella,0.6305206712740605,0.7831481281691662,0.7024921541070608,0.0,0.1202435312024353,0.8164420930809292,0.06441685238246843,0.31263763335981254,0.7328629032258064
Receive the Glory,Glad,A Capella,0.8333326941073207,0.35160211457546664,0.17158589712639474,0.0,0.18315575849822424,0.7663883607505994,0.01124907142099119,0.4437852567647739,0.1754032258064516
Up On the Roof,MC6 A Cappella,A Capella,0.8483929928325629,0.4303592620563168,0.2517226906329104,0.0,0.0898021308980213,0.792055881623543,0.004032685981110045,0.35600156864322413,0.2701612903225807
Christ the Lord is Risen Today,Glad,A Capella,0.8253005347871916,0.3483655194735139,0.26374320965888776,0.0,0.08452562151192287,0.7420848144167975,0.013053167780961477,0.44559020201309213,0.4425403225806452
London By Night,The Singers Unlimited,A Capella,0.9738954822095803,0.2145862552594671,0.08994653874163197,4.8286290322580644e-05,0.28259766615931,0.6056460279408118,0.010506208213944598,0.28976158634073745,0.1370967741935484
Star Wars: A Capella Strikes Back,BYU Noteworthy,A Capella,0.7058221649002709,0.27500269716258496,0.40498430821412157,0.009213709677419355,0.08239472349061389,0.8193147061254857,0.01040008489865223,0.3090126597552515,0.2933467741935484
The Fool On the Hill,The Singers Unlimited,A Capella,0.9748995021245965,0.2512676664149315,0.09735919214098467,0.0096875,0.1385083713850837,0.6017401008514508,0.007959248646927725,0.3877163169061529,0.11391129032258064
Nature Boy,The Singers Unlimited,A Capella,0.970883422464532,0.19732441471571907,0.11649185159066527,4.294354838709677e-06,0.09791983764586504,0.5995494750764653,0.008383741908097205,0.37339239208036284,0.06814516129032257
Michelle,The Singers Unlimited,A Capella,0.9879517610198063,0.23400582587118354,0.04236531759713831,1.4213709677419355e-06,0.15271435819381024,0.5332933785236009,0.010187838268067493,0.34156703435931984,0.039818548387096774
